data-revisit-plants_info-on-date_tagged,data-revisit-plants_info-site_code_tagged,tag.no,sci.name,data-revisit-plants_info-deadalive,data-revisit-plants_info-height,data-revisit-plants_info-rcd,data-revisit-plants_info-yes_no1,data-revisit-plants_info-disturbance,data-revisit-plants_info-flame_h,data-revisit-plants_info-yes_no,data-revisit-plants_info-spot,data-revisit-plants_info-photo_bud,PARENT_KEY,KEY
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4946,Dalbergia paniculata,alive,42,1.2,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1E9LRJU2YLeJU2UP28iTvsUDDTKcgozqa,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[7]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4947,Cassia fistula,alive,34,1.1,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1Oth-2hSiTyIiQSayFc1c189rJgF8c32U,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[8]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4944,Dalbergia paniculata,alive,25,0.7,no, , ,yes,axillary,https://drive.google.com/open?id=1P-q5T1kdHbuuuySCS2FrEKy-Gmo3XypY,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[9]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4943,Dalbergia paniculata,alive,77,1.2,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1ikTt6jCR_lkGuMQzozvFdskNGKEE99r5,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[10]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4942,Premna tomentosa,alive,84,1.8,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=15LWWhNNOie0tWsKdOFAh_TqSQlUn95V5,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[11]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4941,Dalbergia paniculata,alive,70,0.7,no, , ,yes,axillary,https://drive.google.com/open?id=1Q6O1iA4WZ7D8z951sGLXQNCFMs1LCBV6,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[12]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4940,Azadirachata indica,alive,60,0.6,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1VBf10rPcAbaQRo8XYl1vRnp4XxrRcE1Y,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[13]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4939,Dalbergia paniculata,alive,36,0.6,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1CXzLggGuwPstvJUyNj7KLjuOHd_70dGJ,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[14]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4938,Dalbergia paniculata,alive,100,1.1,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1VKmGbTjyGTGC98n6A4srB63KZgYHeGvk,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[15]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4930,Cassia fistula,alive,37,0.9,no, , ,yes,axillary,https://drive.google.com/open?id=1IC9UCJPLvj_I2AmIN8becR9cnoaiXUsZ,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[16]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4937,Azadirachata indica,alive,40,0.5,yes,browsed, ,yes,epicormic,https://drive.google.com/open?id=1VJ7z37ICcv4cn13_RTSfwgjkyKUiN-x5,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[17]
2021-05-30T06:58:00.000+05:30,APA21-bodha_grass_removed_no_fire,4936,Dalbergia paniculata,alive,50,0.6,yes,browsed, ,yes,axillary,https://drive.google.com/open?id=1XUe6KdvR_ZDdqPTmDvv2XejNpLObZtTC,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97,uuid:617a92f7-880b-4c6b-a9a2-a680f6a61f97/revisit[18]
