"treatment","village","site","sci.name","tag.no","h1","rcd1","disturbance","h0","rcd0","LUI","rgr"
"Control","APA20","APA20_Control","Dolichandrone atrovirens",1070,90,2.9,"none",44,1.4,1.12,0.728238500371215
"Control","APA20","APA20_Control","Dolichandrone atrovirens",1071,52,1.5,"none",40,0.7,1.12,0.762140052046897
"Control","APA20","APA20_Control","Dolichandrone atrovirens",1072,80,2.5,"none",18,0.8,1.12,1.13943428318836
"Control","APA20","APA20_Control","Dolichandrone atrovirens",1073,53,2,"none",17,0.9,1.12,0.798507696217772
"Control","APA20","APA20_Control","Dolichandrone atrovirens",1074,36,1.3,"none",19,0.7,1.12,0.619039208406224
"Control","APA20","APA20_Control","Dolichandrone atrovirens",1075,41,1.3,"none",35,0.8,1.12,0.485507815781701
"Control","APA20","APA20_Control","Dolichandrone atrovirens",1076,46,1.8,"browsed",36,1,1.12,0.587786664902119
"Control","APA20","APA20_Control","Dalbergia paniculata",1077,131,2.2,"none",84,1.2,1.12,0.606135803570316
"Control","APA20","APA20_Control","Dalbergia paniculata",1078,135,1.9,"none",16,1.3,1.12,0.379489621704904
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1090,76,2.4,"none",29,0.7,0.46,1.23214368129263
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1091,100,1.9,"browsed",45,0.7,0.46,0.998528830111127
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1092,50,1.3,"none",14,0.4,0.46,1.17865499634165
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1093,30,1.1,"none",10,0.4,0.46,1.01160091167848
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1094,100,2.3,"browsed",29,0.6,0.46,1.34373474670109
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1095,40,0.8,"none",15,0.5,0.46,0.470003629245736
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1096,120,2.5,"browsed",35,0.6,0.46,1.42711635564015
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1097,70,1.9,"none",18,1.4,0.46,0.305381649551182
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1098,60,1.5,"browsed",14,0.4,0.46,1.32175583998232
"Control","APC4","APC4_Control","Dolichandrone atrovirens",1099,30,0.8,"none",10,0.3,0.46,0.980829253011726
"Control","APA1","APA1_Control","Wrightia tinctoria",1179,87,1.2,"none",60,0.5,0.87,0.8754687373539
"Control","APA1","APA1_Control","Dalbergia paniculata",1180,51,0.8,"partly_dried",65,0.7,0.87,0.133531392624523
"Control","APA1","APA1_Control","Wrightia tinctoria",1181,88,1.2,"none",46,0.6,0.87,0.693147180559945
"Control","APA1","APA1_Control","Wrightia tinctoria",1182,61,1.1,"none",57,0.7,0.87,0.451985123743057
"Control","APA1","APA1_Control","Dolichandrone atrovirens",1183,87,2.3,"none",56,1.3,0.87,0.570544858467613
"Control","APA1","APA1_Control","Cassia fistula",1184,113,2.2,"none",73,0.8,0.87,1.01160091167848
"Control","APA1","APA1_Control","Wrightia tinctoria",1185,80,0.9,"none",40,0.5,0.87,0.587786664902119
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1300,55,1.6,"browsed",25,1.3,0.17,0.207639364778245
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1301,143,2.1,"none",28,0.6,0.17,1.25276296849537
"Control","APC3","APC3_Control","Chloroxylon swietenia",1302,120,2.4,"none",58,1.7,0.17,0.344840486291729
"Control","APC3","APC3_Control","Chloroxylon swietenia",1303,140,2.3,"none",100,1.4,0.17,0.496436886313891
"Control","APC3","APC3_Control","Chloroxylon swietenia",1304,150,1.7,"none",90,1.2,0.17,0.348306694268216
"Control","APC3","APC3_Control","Acacia chundra",1305,165,0.7,"partly_dried",90,0.6,0.17,0.154150679827258
"Control","APC3","APC3_Control","Chloroxylon swietenia",1306,105,1.6,"none",70,1.2,0.17,0.287682072451781
"Control","APC3","APC3_Control","Chloroxylon swietenia",1307,105,1.3,"none",52,0.7,0.17,0.619039208406224
"Control","APC3","APC3_Control","Chloroxylon swietenia",1308,55,1.1,"none",43,0.7,0.17,0.451985123743057
"Control","APC3","APC3_Control","Chloroxylon swietenia",1309,110,2.1,"none",100,1.7,0.17,0.211309093667207
"Control","APC3","APC3_Control","Chloroxylon swietenia",1310,130,1.7,"none",90,1.1,0.17,0.435318071257845
"Control","APC3","APC3_Control","Chloroxylon swietenia",1311,90,1.8,"none",80,1.1,0.17,0.492476485097794
"Control","APC3","APC3_Control","Chloroxylon swietenia",1312,90,1.3,"none",76,1.1,0.17,0.167054084663166
"Control","APC3","APC3_Control","Azadirachata indica",1313,80,0.8,"browsed",66,0.8,0.17,0
"Control","APC3","APC3_Control","Azadirachata indica",1314,65,1.1,"browsed",63,0.5,0.17,0.78845736036427
"Control","APC3","APC3_Control","Dolichandrone atrovirens",1315,80,1.9,"none",60,1.2,0.17,0.45953232937844
