site_code,sapling_name,sapling_tag_no,treatment,type_recruit,Note on revisit,sapling_coordinate,sapling_altitude,sapling_coordinate-accuracy,sapling_height (cm),sapling_rcd (cm),sapling_line_to_sapling (m),sapling_to_sapling (m),sapling_disturbance,PARENT_KEY,KEY,site
APC6,Dolichandrone atrovirens,4572,bodha_grass_removed_no_fire,seedling recruitment,,"13.93949778,78.49320559",473,4.288,90,2.6,2,2,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[93],APC6bodha_grass_removed_no_fire
APC1,Dolichandrone atrovirens,1416,all_burnt,clonal offspring,,"13.85298664,78.44304528",500.4345703,4.288,90,2.7,5,15,none,uuid:82f8ef67-d9ae-4212-b3bc-98cd770c64fc,uuid:82f8ef67-d9ae-4212-b3bc-98cd770c64fc/sapling_repeat[17],APC1all_burnt
APC7,Dolichandrone atrovirens,4563,bodha_grass_removed_no_fire,seedling recruitment,,"13.94040239,78.49545898",468,4.288,90,2.8,4,0.6,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[4],APC7bodha_grass_removed_no_fire
APC7,Dolichandrone atrovirens,4568,bodha_grass_removed_no_fire,seedling recruitment,,"13.94021302,78.49536349",471,4.288,90,3.2,5,3,none,uuid:d77f3969-5887-4716-bd14-d969a8ab9752,uuid:d77f3969-5887-4716-bd14-d969a8ab9752/sapling_repeat[13],APC7bodha_grass_removed_no_fire
APA10,Wrightia tinctoria,3959,bodha_grass_removed_no_fire,clonal offspring,,"14.01898639,78.3825757",436,4.288,89,1.7,7,2,none,uuid:d035842c-e768-4f37-9230-66f5cc58b691,uuid:d035842c-e768-4f37-9230-66f5cc58b691/sapling_repeat[16],APA10bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,4578,bodha_grass_removed_no_fire,seedling recruitment,,"13.93971062,78.49360617",473,4.288,89,1.8,3,2,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[98],APC6bodha_grass_removed_no_fire
APA7,Cassia fistula,3940,bodha_grass_removed_no_fire,seedling recruitment,,"14.02234942,78.38155426",448,4.288,89,1.9,0,2,none,uuid:749e5815-f6a3-47f6-9f0a-20bc2e346b9b,uuid:749e5815-f6a3-47f6-9f0a-20bc2e346b9b/sapling_repeat[1],APA7bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1315,bodha_grass_removed_no_fire,seedling recruitment,,"13.93988839,78.4938573",467,4.288,89,2.5,6,1,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[90],APC6bodha_grass_removed_no_fire
APA21,Premna tomentosa,4927,bodha_grass_removed_no_fire,clonal offspring,,"14.00860273,78.32078378",506.6862793,4.288,88,1.1,9,3,none,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637,uuid:ef0b3dfd-cd35-42cc-beeb-a634df745637/sapling_repeat[25],APA21bodha_grass_removed_no_fire
APC12,Acacia chundra,4662,bodha_grass_removed_no_fire,clonal offspring,,"13.89434758,78.41321076",439.7043457,4.288,88,1.6,4,2.5,none,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4,uuid:70a61ec4-f34d-4439-bcfa-cfd967f07df4/sapling_repeat[5],APC12bodha_grass_removed_no_fire
APC2,Tectona grandis,3742,bodha_grass_removed_no_fire,seedling recruitment,,"13.8955708,78.47727534",455,4.288,88,1.7,2,2.5,none,uuid:bcf824e4-8cc6-43d5-8793-f9088bf2ffad,uuid:bcf824e4-8cc6-43d5-8793-f9088bf2ffad/sapling_repeat[9],APC2bodha_grass_removed_no_fire
APC6,Dolichandrone atrovirens,1312,bodha_grass_removed_no_fire,seedling recruitment,,"13.93983946,78.49351139",471,4.288,88,1.7,4,0.9,none,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6,uuid:76e9de80-2bcb-42b8-9353-8c698af54ff6/sapling_repeat[75],APC6bodha_grass_removed_no_fire
