"","site","village","sci.name","tag.no","treatment","recruit.type","height","rcd","lat","long","altitude","disturbance"
"285","APC12_Control","APC12","Dolichandrone atrovirens",4953,"Control","clonal offspring",64,0.8,"13.86998764","78.4179282",435.8178711,"none"
"286","APC2_CAFA","APC2","Tectona grandis",3720,"CAFA","seedling recruitment",64,2.1,"13.89504245","78.47712338",449,"none"
"287","APC7_CAFA","APC7","Dolichandrone atrovirens",4562,"CAFA","seedling recruitment",64,3.2,"13.9404125","78.49550574",465,"none"
"288","APC1_CAFA","APC1","Dolichandrone atrovirens",1016,"CAFA","seedling recruitment",63,0.3,"13.84877941","78.4288614",455,"none"
"289","APC9_CAFA","APC9","Pongamia pinnata",3765,"CAFA","seedling recruitment",63,0.4,"13.87327726","78.52938291",449,"none"
"290","APC3_Control","APC3","Azadirachata indica",1314,"Control","clonal offspring",63,0.5,"13.82791636","78.41316684",465.8650513,"none"
"291","APC12_CAFA","APC12","Acacia chundra",4664,"CAFA","seedling recruitment",63,0.7,"13.89432723","78.41316922",435.8460693,"none"
"292","APA19_CPFA","APA19","Cassia fistula",3401,"CPFA","seedling recruitment",63,1.4,"14.058573333333333","78.34402666666666",555.5,"none"
"293","APC6_CAFA","APC6","Dolichandrone atrovirens",1333,"CAFA","seedling recruitment",63,1.9,"13.93970983","78.49326506",462,"none"
"294","APC6_CAFA","APC6","Dolichandrone atrovirens",1374,"CAFA","seedling recruitment",63,1.9,"13.93966481","78.49321736",461,"none"
"295","APA19_CAFA","APA19","Chloroxylon swietenia",1019,"CAFA","seedling recruitment",62,0.5,"14.051201666666667","78.32468999999999",589.1,"none"
"296","APA18_CPFA","APA18","Pongamia pinnata",1109,"CPFA","seedling recruitment",62,0.8,"14.058556666666668","78.337525",529.2,"none"
"297","APA17_CAFA","APA17","Wrightia tinctoria",4746,"CAFA","clonal offspring",62,1.1,"14.11843151","78.33479258",402.208374,"none"
"298","APA21_CAFA","APA21","Azadirachata indica",4932,"CAFA","seedling recruitment",62,1.1,"14.00880895","78.32046932",530.9885254,"none"
"299","APA2_CAFA","APA2","Dalbergia paniculata",1122,"CAFA","seedling recruitment",62,1.3,"14.069179999999998","78.31814833333333",552.5,"none"
"300","APC5_CAFA","APC5","Dolichandrone atrovirens",1335,"CAFA","seedling recruitment",62,1.3,"13.80536709","78.41414809",489.1959229,"none"
"301","APA17_CPFA","APA17","Dolichandrone atrovirens",4742,"CPFA","seedling recruitment",62,1.7,"14.11825393","78.33402277",402.1884766,"none"
"302","APC7_CAFA","APC7","Dolichandrone atrovirens",4571,"CAFA","seedling recruitment",62,2.2,"13.94038619","78.49544768",500,"none"
"303","APC8_CAFA","APC8","Cassia fistula",3706,"CAFA","clonal offspring",61,0.9,"13.8732266","78.5281177",457,"none"
"304","APA2_CAFA","APA2","Dalbergia paniculata",1109,"CAFA","clonal offspring",61,1.1,"14.069366666666667","78.31827833333334",552.1,"none"
